@relation 'BloVal-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-R1-107-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 1.3.2 {0,1}
@attribute 1.3.5.4.1 {0,1}
@attribute 1.3.5.3.1 {0,1}
@attribute 1.3.5.2 {0,1}
@attribute 3.2 {0,1}
@attribute 3.4.2 {0,1}
@attribute 3.3 {0,1}
@attribute 5 {0,1}
@attribute 2.4.4.2 {0,1}
@attribute 2.4.1 {0,1}
@attribute 1.4.1 {0,1}
@attribute 1.4.3.1 {0,1}
@attribute 1.2.4.1 {0,1}
@attribute 1.4.4.1 {0,1}
@attribute 2.3.1 {0,1}
@attribute 3.3.1 {0,1}
@attribute 3.4.2.1 {0,1}
@attribute 1.3 {0,1}
@attribute 3.3.3.2 {0,1}
@attribute 3.3.3.3 {0,1}
@attribute 1.2.2 {0,1}
@attribute 1.2 {0,1}
@attribute 1.2.2.1 {0,1}
@attribute 1.4.6.2 {0,1}
@attribute 1.3.5.4.2 {0,1}
@attribute 1.4.4.2 {0,1}
@attribute 2.4.2.1.1 {0,1}
@attribute 5.3.2.1 {0,1}
@attribute 3.4.2.2.1 {0,1}
@attribute 3.4.2.2.2 {0,1}
@attribute 1.3.3.2 {0,1}
@attribute 1.4.6.6.1 {0,1}
@attribute 2.3.2.2.1 {0,1}
@attribute 2.3.2.2 {0,1}
@attribute 3.4.2.2 {0,1}
@attribute 2.4.2.1 {0,1}
@attribute 3.3.3.3.1 {0,1}
@attribute 1.2.1.1.1 {0,1}
@attribute 1.2.1.1 {0,1}
@attribute 4 {0,1}
@attribute 3.4 {0,1}
@attribute 5.3.1 {0,1}
@attribute 1.4.3.2.2 {0,1}
@attribute 1.3.3 {0,1}
@attribute 1.2.4.2 {0,1}
@attribute 1.4.4 {0,1}
@attribute 3.4.4.3 {0,1}
@attribute 3.4.4.2 {0,1}
@attribute 1.4.3.2.3 {0,1}
@attribute 1.4.2 {0,1}
@attribute 2.4.4.1 {0,1}
@attribute 2.1 {0,1}
@attribute 3.3.3 {0,1}
@attribute 1.3.1 {0,1}
@attribute 1.4.6.1 {0,1}
@attribute 2.3.2 {0,1}
@attribute 2.3.2.1 {0,1}
@attribute 5.3.2 {0,1}
@attribute 5.3.4 {0,1}
@attribute 2.4.4 {0,1}
@attribute 1.3.5.1 {0,1}
@attribute 5.2.1 {0,1}
@attribute 1.1.1 {0,1}
@attribute 1.3.5.4 {0,1}
@attribute 5.2 {0,1}
@attribute 1.2.4 {0,1}
@attribute 1.3.5.3 {0,1}
@attribute 3.4.4 {0,1}
@attribute 1.4.6.5 {0,1}
@attribute 1.4.5.1 {0,1}
@attribute 1.1.2.1 {0,1}
@attribute 2.2 {0,1}
@attribute 1.4.6.6 {0,1}
@attribute 1.4.3.2 {0,1}
@attribute 2.3 {0,1}
@attribute 3.1 {0,1}
@attribute 1.4.6.1.1 {0,1}
@attribute 3.3.3.1 {0,1}
@attribute 1.2.3 {0,1}
@attribute 1.4.3.2.1 {0,1}
@attribute 3.3.2 {0,1}
@attribute 5.3.4.1 {0,1}
@attribute 1.2.1 {0,1}
@attribute 3.4.3 {0,1}
@attribute 1.4.6.4 {0,1}
@attribute 1.4.3 {0,1}
@attribute 5.1 {0,1}
@attribute 2.4.2 {0,1}
@attribute 1.1 {0,1}
@attribute 1.4 {0,1}
@attribute 2.4.3 {0,1}
@attribute 1.3.3.1 {0,1}
@attribute 3.4.1 {0,1}
@attribute 3.4.4.1 {0,1}
@attribute 5.3.3 {0,1}
@attribute 1.3.5 {0,1}
@attribute 1.4.5 {0,1}
@attribute 5.3 {0,1}
@attribute 1.4.6.3 {0,1}
@attribute 1.1.2 {0,1}
@attribute 1.4.6 {0,1}
@attribute 2.4 {0,1}
@attribute 2.2.1 {0,1}
@attribute 1.3.4 {0,1}
@attribute 1 {1}
@attribute 3 {1}
@attribute 2 {1}
@attribute FamSize {'\'(-inf-5.333333]\'','\'(5.333333-8.666667]\'','\'(8.666667-inf)\''}

@data
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,'\'(-inf-5.333333]\''
0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,'\'(5.333333-8.666667]\''
1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,'\'(-inf-5.333333]\''
0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,'\'(5.333333-8.666667]\''
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,'\'(8.666667-inf)\''
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,'\'(-inf-5.333333]\''
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,'\'(5.333333-8.666667]\''
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,'\'(-inf-5.333333]\''
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,'\'(-inf-5.333333]\''
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,'\'(5.333333-8.666667]\''
1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,'\'(5.333333-8.666667]\''
0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,'\'(5.333333-8.666667]\''
